codename,name,type
UMA,Uchi-mata,S
UMG,Uchi-mata-gaeshi,S
UMK,Uchi-mata-maki-komi,S
ISN,Ippon-seoi-nage,S
MSN,Morote-Seoi-nage,S
OSG,O-soto-gari ,S
OUG,O-uchi-gari,S
STG,Sode-tsuri-komi-goshi ,S
TOS,Tai-otoshi,S
KUW,Kuzure-uki-waza (Abtaucher),S
TGU,Te-guruma,S
HAB,Habareli (Khabarelli),S
KGU,Kata-guruma,S
YTN,Yoko-tomoe-nage,S
UNA,Ura-nage,S
UGO,Uki-goshi,S
HRG,Harai-goshi,S
HRM,Harai-maki-komi,S
KUM,Ko-uchi-maki-komi,S
KTA,Kuchiki-taoshi,S
RAD,Ryo-ashi-dori,S
TNO,Tani-otoshi,S
DAB,De-ashi-barai,S
HTA,Harai-tsuri-komi-ashi,S
OAB,Okuri-ashi-barai,S
HIZ,Hiza-guruma,S
STA,Sasae-tsuri-komi-ashi,S
SMK,Soto-maki-komi,S
YAS,Yama-arashi,S
EWN,Eri- suwari-Seoi-nage,S
EWI,Eri-suwari-ippon-seoi-nage,S
EWO,Eri-suwari-Seoi-Otoshi,S
EWT,Eri-suwari-tai-otoshi,S
IWI,Ippon-suwari-seoi-nage,S
MSS,Morote-suwari-seoi-nage,S
SGR,Seoi-nage-guruma,S
UMS,Uchi-mata-sukashi,S
AGU,Ashi-guruma,S
HRA,Harai-goshi-gaeshi,S
OGU,O-guruma,S
SOO,Seoi-otoshi,S
ESN,Eri- seoi- nage,S
ETO,Eri-tai-otoshi,S
ESO,Eri- seoi- otoshi,S
HNG,Hane-goshi,S
HNE,Hane-goshi-gaeshi,S
HNM,Hane-maki-komi,S
KSG,Ko-soto-gari,S
STR,Sode-tsuri-komi-goshi-guruma,S
TKG,Tsuri-komi-goshi,S
TGR,Tsuri-komi-goshi-guruma,S
UTO,Ude-Tai-otoshi,S
KAD,Kata-ashi-dori,S
MAG,Morote-gari,S
KSK,Ko-soto-gake,S
UTN,Ude-Tani-otoshi,S
YGA,Yoko-gake,S
OGR,O-soto-guruma,S
OSM,O-soto-maki-komi,S
OSO,O-soto-otoshi,S
SUK,Sukui-nage,S
TBG,Tsubame-gaeshi,S
SOT,Sumi-otoshi,S
SKU,Sutemi-kata-guruma,S
UWA,Uki-waza,S
YOT,Yoko-otoshi,S
KOG,Koshi-guruma,S
OOS,Obi-otoshi,S
OGO,O-goshi,S
TGO,Tsuri-goshi,S
UOT,Uki-otoshi,S
USH,Ushiro-goshi,S
UTS,Utsuri-goshi,S
GTN,Gyaku-tomoe-nage,S
HKG,Hikomi-gaeshi,S
OTG,Obitori-gaeshi,S
SUG,Sumi-gaeshi,S
TNG,Tomoe-nage,S
YGU,Yoko-guruma,S
KBA,Kani-Basami,S
KOU,Ko-uchi-gaeshi,S
KUK,Ko-uchi-gake,S
OUC,O-uchi-gaeshi,S
OUK,O-uchi-gake,S
DWK,Daki-wakare,S
KIB,Kibisi-gaeshi,S
TWG,Taware-gaeshi,S
UGA,Ude-gaeshi,S
YWA,Yoko-wakare,S
KSH,Kami-shiho-gatame,B
KEG,Kesa-gatame,B
OKW,Osae-komi-waza,B
SKG,Sankaku-gatame,B
TSG,Tate-shiho-gatame,B
ASG,Yoko-shiho-gatame,B
ASJ,Ashi-jime,B
HAD,Hadaka-jime,B
JUJ,Juji-jime,B
KHJ,Kata-ha-jime,B
KTJ,Katate-jime,B
OEJ,Okuri-eri-jime,B
RYJ,Ryo-te-jime,B
SAJ,Sankaku-jime,B
SHW,Shime-waza,B
AGA,Ashi-gatame,B
HGA,Hara-gatame,B
JGT,Juji-gatame,B
KGT,Kannuki-gatame,B
SGT,Sankaku-kansetsu,B
UGR,Ude-garami,B
UGA,Ude-gatame,B
UKW,Ude-kansetsu-waza,B
WAK,Waki-gatame,B
